     remote           refid      st t when poll reach   delay   offset  jitter
==============================================================================
 0.ubuntu.pool.n .POOL.          16 p    -   64    0    0.000   +0.000   0.000
 1.ubuntu.pool.n .POOL.          16 p    -   64    0    0.000   +0.000   0.000
 2.ubuntu.pool.n .POOL.          16 p    -   64    0    0.000   +0.000   0.000
 3.ubuntu.pool.n .POOL.          16 p    -   64    0    0.000   +0.000   0.000
 ntp.ubuntu.com  .POOL.          16 p    -   64    0    0.000   +0.000   0.000
+195.178.51.145  131.188.3.221    2 u   17   64    3    5.687   +1.280   3.382
+217.24.20.5     84.16.73.33      2 u   12   64    3    4.774   +3.149   2.451
+147.91.26.20    147.91.8.1       3 u   19   64    3   21.123   +3.830   2.950
+195.178.58.245  192.168.106.2    2 u   12   64    3    4.140   +1.833   2.459
*147.91.8.1      91.187.128.199   2 u   14   64    3   22.429   +3.365   5.286
+195.250.114.105 192.168.116.2    2 u   14   64    3   28.227   +3.644   4.621
 185.125.190.57  183.160.133.132  2 u   13   64    3   36.303   +1.587   3.461
 185.125.190.58  79.243.60.50     2 u   12   64    3   40.905   -0.848   1.481
 91.189.91.157   132.163.96.1     2 u   11   64    3  103.165   -0.317   2.711
 185.125.190.56  183.160.133.132  2 u   13   64    3   39.420   -0.246   2.066
